2016-09-30,47.75,507.0,8.382967032967034,13.5,966.8041666666667,5.0,2.5,2.0143892230681857,24.5,189.94890781238198,97.35773,-9.579649,-8.0472765,2.4643044,81.5
2016-10-01,53.5,510.5,9.41904761904762,14.5,1163.9000000000005,5.0,5.0,3.039970765153744,23.5,120.68135314512392,97.661476,7.857517,-8.608847,1.5411613,98.0
2016-10-02,56.75,511.75,8.320634920634921,16.25,1142.0333333333338,5.0,5.5,3.802928567422424,23.25,105.6935198100137,97.91745,-0.048740394,-2.321069,0.9294722,96.0
2016-10-03,60.0,513.0,7.222222222222222,18.0,1120.166666666667,5.0,6.0,4.565886369691103,23.0,81.11219902904914,98.12745,-6.3082776,2.7892716,-0.05554713,94.0
2016-10-04,57.66666666666666,511.66666666666674,8.62037037037037,16.0,1138.1388888888894,5.0,6.666666666666668,5.186470645970914,21.66666666666667,71.50530423037365,98.41369,-5.2614355,4.7733355,-3.0295985,95.66666666666669
2016-10-05,55.33333333333334,510.33333333333326,10.018518518518515,14.0,1156.1111111111113,5.0,7.333333333333332,5.8070549222507255,20.33333333333333,83.73064801162774,98.64259,-0.97724825,4.221418,-5.5163755,97.33333333333331
2016-10-06,53.0,509.0,11.416666666666664,12.0,1174.0833333333335,5.0,8.0,6.427639198530536,19.0,113.35065173591265,98.83389,6.1243143,-0.12814623,-8.447315,99.0
2016-10-07,48.5,506.0,9.818181818181818,10.5,875.1666666666667,5.0,3.5,6.778931631122132,19.0,129.96290743138908,99.06373,-10.8069935,-5.8112082,-9.436585,73.5
2016-10-08,59.0,515.0,9.466666666666667,15.0,1222.6666666666667,5.0,4.0,7.633824787223589,19.0,126.24065907588819,99.23394,10.226892,0.162811,-6.2751474,103.0
2016-10-09,55.0,509.0,9.571428571428571,14.0,1142.3833333333332,5.0,5.0,8.085485634964023,18.0,110.75094741117027,99.372986,-3.205457,3.1203063,-4.418201,96.0
2016-10-10,55.0,507.0,10.0,13.0,1103.7333333333336,5.0,3.0,8.845417770860488,18.0,106.72862709309366,99.52882,-2.5754333,2.1755376,-2.0240517,93.0
2016-10-11,50.0,503.0,9.733333333333333,15.0,1229.766666666667,5.0,5.0,9.310312118790213,18.0,109.34401409939812,99.78541,5.1170917,-1.3691782,1.0931515,103.0
2016-10-12,58.0,505.0,9.571428571428571,14.0,1138.6500000000005,5.0,6.0,9.968783914524863,17.0,91.30096875068584,99.86041,-4.106028,-0.21388581,2.2384145,96.0
2016-10-13,43.0,497.0,12.0,13.0,1306.066666666667,5.0,8.0,10.291478427908396,18.0,97.8146647433922,99.98986,3.2575827,0.86740136,3.22688,110.0
2016-10-14,45.33333333333334,502.66666666666674,12.090909090909092,12.333333333333336,1258.688888888889,5.0,7.0,11.01339708446088,18.666666666666668,101.742597580635,100.10337,0.19286722,2.082199,3.287602,106.0
2016-10-15,47.66666666666666,508.33333333333326,12.181818181818182,11.666666666666664,1211.3111111111114,5.0,6.0,11.735315741013364,19.33333333333333,99.95432617943978,100.21846,0.9646499,0.988018,1.5456786,102.0
2016-10-16,50.0,514.0,12.272727272727273,11.0,1163.9333333333334,5.0,5.0,12.457234397565848,20.0,28.117886414145406,100.28626,-1.906419,-0.3754649,0.74925584,98.0
2016-10-17,54.5,515.5,10.118131868131867,13.5,1183.591666666667,5.0,8.0,12.842011946325648,21.0,92.55080056704321,100.39923,-1.6738557,-0.51859975,2.917151,99.5
2016-10-18,55.5,514.5,9.149019607843137,16.0,1264.95,5.0,8.5,13.833355767747715,22.0,12.862181856764872,100.481285,0.45920917,-1.5272378,7.7013745,106.5
2016-10-19,54.66666666666666,513.3333333333334,8.81146761734997,18.0,1356.2833333333335,5.0,8.333333333333334,14.710897516790745,20.666666666666668,82.32879089386878,100.59345,-1.3568102,1.2822753,15.801769,114.0
2016-10-20,53.83333333333334,512.1666666666666,8.473915626856803,20.0,1447.6166666666668,5.0,8.166666666666666,15.588439265833776,19.33333333333333,89.23505574434246,100.64533,-1.5559179,3.2494607,19.957323,121.5
2016-10-21,53.0,511.0,8.136363636363637,22.0,1538.9500000000005,5.0,8.0,16.465981014876803,18.0,109.36118262421287,100.71352,6.3434963,4.074474,16.455456,129.0
2016-10-22,52.0,514.0,8.875,16.0,1222.8166666666666,5.0,5.0,16.833079544020507,17.0,123.878736625383,100.721855,-4.8819904,-0.07842064,8.427901,103.0
2016-10-23,48.0,508.0,9.75,12.0,999.9166666666667,5.0,5.0,17.46850769079766,18.0,115.471036081242,100.73318,-8.50682,-4.816388,-2.484894,84.0
2016-10-24,49.33333333333334,509.66666666666674,8.833333333333334,15.0,1087.8333333333335,5.0,5.0,18.201468051991736,19.0,97.37333208798529,100.78197,2.4150453,-3.5753913,-9.014698,91.33333333333331
2016-10-25,50.66666666666666,511.33333333333326,7.916666666666668,18.0,1175.75,5.0,5.0,18.934428413185813,20.0,75.24399133806074,100.887474,3.9941733,0.77000177,-7.949318,98.66666666666669
2016-10-26,52.0,513.0,7.0,21.0,1263.6666666666667,5.0,5.0,19.667388774379887,21.0,80.24710962784147,100.87326,7.2273498,2.4870915,-5.408245,106.0
2016-10-27,54.0,513.0,9.714285714285714,14.0,1174.0333333333338,5.0,8.0,20.41501563398252,20.0,82.580718760475,100.88185,-1.3470445,2.0848138,-0.43311816,99.0
2016-10-28,54.75,514.0,9.594322344322345,14.0,1159.9958333333338,5.0,7.25,21.046861460480365,19.5,59.43891530366325,100.905205,-3.28273,1.514388,1.292499,97.75
